,target
1230,0.087027915
1231,0.13457557
1232,0.15049618
1233,0.084243592
1234,0.04990362
1235,0.04097951
1236,0.037624045
1237,0.043335475
1238,0.045977011
1239,0.038409367
1240,0.034982509
1241,0.031912615
1242,0.027700435
1243,0.026986507
1244,0.025201685
1245,0.023416863
1246,0.021632041
1247,0.020918112
1248,0.020489755
1249,0.018990505
1250,0.014921111
1251,0.013136289
1252,0.011779824
1253,0.0099950025
1254,0.0089955022
1255,0.006853716
1256,0.0064967516
1257,0.0064967516
1258,0.0052830727
1259,0.0038552152
1260,0.00035696437
1261,0.0037124295
1262,0.010066395
1263,0.015849218
1264,0.043763832
1265,0.17177126
1266,0.19318912
1267,0.20054259
1268,0.22731491
1269,0.10666096
1270,0.1042336
1271,0.061469265
1272,0.088241593
1273,0.07574784
1274,0.13036339
1275,0.24723353
1276,0.25265938
1277,0.16727351
1278,0.083672449
1279,0.066109802
1280,0.13164846
1281,0.082387378
1282,0.053187692
1283,0.069322482
1284,0.076533162
1285,0.19083315
1286,0.13343328
1287,0.071821232
1288,0.047047905
1289,0.034696937
1290,0.029628043
1291,0.028200186
1292,0.030698936
1293,0.031484258
1294,0.027486257
1295,0.025630042
1296,0.022131791
1297,0.020132791
1298,0.018990505
1299,0.017491254
1300,0.017277076
1301,0.015706432
1302,0.014135789
1303,0.013136289
1304,0.011280074
1305,0.010066395
1306,0.0084957521
1307,0.0073534661
1308,0.005140287
1309,0.00042835725
1310,0.0
1311,0.00049975012
1312,0.0040693939
1313,0.037624045
1314,0.076033412
1315,0.090811737
1316,0.10844578
1317,0.085957021
1318,0.12029699
1319,0.094952524
1320,0.17005783
1321,0.18676376
1322,0.10673235
1323,0.24087956
1324,0.26558149
1325,0.28442921
1326,0.28978368
1327,0.16391804
1328,0.080816734
1329,0.056328978
1330,0.043335475
1331,0.1052331
1332,0.20646819
1333,0.25094596
1334,0.28621404
1335,0.24894696
1336,0.15270936
1337,0.10766046
1338,0.075390876
1339,0.060755337
1340,0.060469765
1341,0.059041908
1342,0.059827229
1343,0.073891626
1344,0.071892625
1345,0.054472764
1346,0.057971014
1347,0.052188192
1348,0.060683944
1349,0.056828728
1350,0.039194688
1351,0.033911616
1352,0.032340972
1353,0.031127293
1354,0.02855715
1355,0.02755765
1356,0.026201185
1357,0.02284572
1358,0.018704933
1359,0.019418862
1360,0.016920111
1361,0.013136289
1362,0.015063897
1363,0.01142286
1364,0.014064396
1365,0.013921611
1366,0.018776326
1367,0.020846719
1368,0.034625544
1369,0.082815735
1370,0.11337189
1371,0.13264796
1372,0.21382166
1373,0.16677376
1374,0.21674877
1375,0.10680374
1376,0.26022703
1377,0.28921254
1378,0.31355751
1379,0.32605126
1380,0.35418005
1381,0.38416506
1382,0.40222746
1383,0.39644463
1384,0.35539373
1385,0.34589848
1386,0.3837367
1387,0.39173271
1388,0.40144214
1389,0.42028986
1390,0.4399229
1391,0.45006068
1392,0.45348754
1393,0.44256443
1394,0.40958092
1395,0.27007925
1396,0.20011423
1397,0.1904048
1398,0.14649818
1399,0.12272435
1400,0.11030199
1401,0.10230599
1402,0.094809738
1403,0.088669951
1404,0.083529664
1405,0.078317984
1406,0.072606554
1407,0.067894624
1408,0.063182694
1409,0.057971014
1410,0.053687442
1411,0.049118298
1412,0.045263083
1413,0.044120797
1414,0.042835725
1415,0.045477261
1416,0.063396873
1417,0.075390876
1418,0.050688941
1419,0.031984008
1420,0.024701935
1421,0.027771828
1422,0.043192689
1423,0.083244092
1424,0.18490755
1425,0.1844078
1426,0.22510173
1427,0.25258799
1428,0.10687513
1429,0.22895695
1430,0.18376526
1431,0.10351967
1432,0.095166702
1433,0.18248019
1434,0.27950311
1435,0.29777968
1436,0.29842222
1437,0.26565289
1438,0.1673449
1439,0.15549368
1440,0.13079175
1441,0.11529949
1442,0.19647319
1443,0.16049118
1444,0.12443778
1445,0.11208681
1446,0.17120011
1447,0.12650817
1448,0.089026915
1449,0.079246091
1450,0.073463268
1451,0.06803741
1452,0.074605554
1453,0.062040408
1454,0.055472264
1455,0.051260084
1456,0.048547155
1457,0.046119797
1458,0.04619119
1459,0.066823731
1460,0.063039909
1461,0.047619048
1462,0.040765332
1463,0.036838723
1464,0.031412865
1465,0.029413864
1466,0.027200685
1467,0.038623545
1468,0.055043907
1469,0.041764832
1470,0.041265082
1471,0.069251089
1472,0.079603056
1473,0.066181195
1474,0.092168202
1475,0.081530663
1476,0.046762333
1477,0.030770329
1478,0.06853716
1479,0.055543657
1480,0.1102306
1481,0.10694653
1482,0.1282216
1483,0.1824088
1484,0.19968587
1485,0.19547369
1486,0.18754908
1487,0.23338331
1488,0.19690155
1489,0.12379525
1490,0.10537588
1491,0.07996002
1492,0.15813522
1493,0.24266438
1494,0.21881916
1495,0.15592204
1496,0.14171486
1497,0.095309488
1498,0.065681445
1499,0.054044406
1500,0.045620047
1501,0.040194189
1502,0.037338474
1503,0.035482259
1504,0.036338973
1505,0.033983008
1506,0.032697937
1507,0.032626544
1508,0.030627543
1509,0.029199686
1510,0.026700935
1511,0.025915614
1512,0.02434497
1513,0.023416863
1514,0.02184622
1515,0.020561148
1516,0.019061898
1517,0.017848219
1518,0.017562647
1519,0.016206183
1520,0.014992504
1521,0.011637039
1522,0.013493253
1523,0.014921111
1524,0.016777326
1525,0.034339973
1526,0.046476762
1527,0.069108303
1528,0.057542657
1529,0.065895624
1530,0.1633469
1531,0.12508032
1532,0.083172699
1533,0.12972085
1534,0.10701792
1535,0.081673449
1536,0.14985364
1537,0.16962947
1538,0.13586064
1539,0.21710573
1540,0.26779467
1541,0.29206825
1542,0.30991647
1543,0.30784608
1544,0.28271578
1545,0.28864139
1546,0.30827443
1547,0.35382309
1548,0.37338474
1549,0.37938174
1550,0.34004426
1551,0.22367388
1552,0.15256657
1553,0.11915471
1554,0.098879132
1555,0.08988363
1556,0.09659456
1557,0.081530663
1558,0.070250589
1559,0.062397373
1560,0.057899622
1561,0.054544156
1562,0.051045906
1563,0.048190191
1564,0.045263083
1565,0.041836225
1566,0.038623545
1567,0.035339473
1568,0.033126294
1569,0.032126794
1570,0.0300564
1571,0.026772328
1572,0.023559649
1573,0.022702934
1574,0.019276076
1575,0.017848219
1576,0.02134647
1577,0.024987506
1578,0.012636539
1579,0.0089955022
1580,0.018919112
1581,0.022702934
1582,0.047904619
1583,0.12236739
1584,0.21689155
1585,0.24594845
1586,0.24337831
1587,0.10708931
1588,0.21682016
1589,0.20675377
1590,0.21867638
1591,0.2454487
1592,0.25230242
1593,0.25508674
1594,0.26393946
1595,0.26793746
1596,0.25430142
1597,0.24723353
1598,0.23495395
1599,0.22581566
1600,0.20254159
1601,0.16748768
1602,0.13164846
1603,0.11315771
1604,0.09759406
1605,0.089383879
1606,0.092596559
1607,0.091525666
1608,0.080031413
1609,0.068965517
1610,0.061897623
1611,0.055472264
1612,0.049046905
1613,0.043264082
1614,0.04097951
1615,0.038694938
1616,0.035625045
1617,0.032412365
1618,0.032555151
1619,0.030841722
1620,0.027629043
1621,0.02755765
1622,0.025058899
1623,0.021632041
1624,0.02134647
1625,0.018919112
1626,0.016848718
1627,0.015777825
